ano";"casos";"letalidade" 
"01";"41.00";"53.65"
"02";"17.00";"47.05"
"03";"62.00";"33.87"
"04";"6.00";"50.00"
"05";"3.00";"99.99"
"06";"2.00";"100.00"
"07";"13.00";"76.92"
"08";"46.00";"58.69"
"09";"47.00";"36.17"
"10";"2.00";"100.00"
"11";"2.00";"50.00"
"13";"3.00";"0.00"
"14";"1.00";"0.00"
"15";"9.00";"55.55"
"16";"51.00";"72.54"
"17";"805.00";"33.04"
"18";"1306.00";"34.15"
