"codigo_ocorrencia";"aeronave_matricula";"aeronave_operador_categoria";"aeronave_tipo_veiculo";"aeronave_fabricante";"aeronave_modelo";"aeronave_tipo_icao";"aeronave_motor_tipo";"aeronave_motor_quantidade";"aeronave_pmd";"aeronave_pmd_categoria";"aeronave_assentos";"aeronave_ano_fabricacao";"aeronave_pais_fabricante";"aeronave_pais_registro";"aeronave_registro_categoria";"aeronave_registro_segmento";"aeronave_voo_origem";"aeronave_voo_destino";"aeronave_fase_operacao";"aeronave_fase_operacao_icao";"aeronave_tipo_operacao";"aeronave_nivel_dano";"total_fatalidades";"aeronave_dia_extracao"
"201212131354852";"PTDYK";"OPERADOR DE AERONAVE";"AVIÃO";"PIPER AIRCRAFT";"PA-31";"PA31";"PISTÃO";"BIMOTOR";"2948";"ENTRE 2250 E 5700 KG";"4";"1974";"ESTADOS UNIDOS";"BRASIL";"SAE-AL";"ESPECIALIZADA";"****";"****";"ESPECIALIZADA";"MANEUVERING";"OPERAÇÃO ESPECIALIZADA";"NENHUM";"0";"2019-05-31"
"200908237759127";"PTSLE";"OPERADOR DE AERONAVE";"AVIÃO";"EMBRAER";"EMB-120ER";"E120";"TURBOÉLICE";"BIMOTOR";"11990";"ACIMA DE 5700 KG";"34";"1989";"BRASIL";"BRASIL";"TPR";"REGULAR";"****";"****";"SUBIDA";"EN ROUTE";"VOO REGULAR";"NENHUM";"0";"2019-05-31"
"201804201518248";"PTIXC";"OPERADOR DE AERONAVE";"AVIÃO";"CESSNA AIRCRAFT";"310Q";"C310";"PISTÃO";"BIMOTOR";"2404";"ENTRE 2250 E 5700 KG";"6";"1973";"ESTADOS UNIDOS";"BRASIL";"TPX";"TÁXI AÉREO";"###!";"SBRD";"DECOLAGEM";"TAKEOFF";"VOO PRIVADO";"SUBSTANCIAL";"0";"2019-05-31"
"201101045596239";"PTRCB";"OPERADOR DE AERONAVE";"AVIÃO";"EMBRAER";"EMB-810C";"PA34";"PISTÃO";"BIMOTOR";"2073";"ATÉ 2250 KG";"6";"1981";"BRASIL";"BRASIL";"TPX";"TÁXI AÉREO";"****";"****";"CRUZEIRO";"EN ROUTE";"TÁXI AÉREO";"LEVE";"0";"2019-05-31"
"201312184539202";"PPGBR";"AEROCLUBE";"AVIÃO";"AERO BOERO";"AB-115";"AB11";"PISTÃO";"MONOMOTOR";"770";"ATÉ 2250 KG";"3";"1991";"ARGENTINA";"BRASIL";"PRI";"INSTRUÇÃO";"SBCY";"SWLV";"CORRIDA APÓS POUSO";"LANDING";"VOO DE INSTRUÇÃO";"SUBSTANCIAL";"0";"2019-05-31"
"201008064328766";"PPFFZ";"ÓRGÃO PÚBLICO";"AVIÃO";"EMBRAER";"EMB-810D";"PA34";"PISTÃO";"BIMOTOR";"2155";"ATÉ 2250 KG";"6";"1980";"BRASIL";"BRASIL";"ADF";"ADMINISTRAÇÃO DIRETA";"****";"****";"POUSO";"LANDING";"OPERAÇÃO POLICIAL";"LEVE";"0";"2019-05-31"
"200909262865305";"PTRSO";"OPERADOR DE AERONAVE";"AVIÃO";"EMBRAER";"EMB-810D";"PA34";"PISTÃO";"BIMOTOR";"2155";"ATÉ 2250 KG";"7";"1982";"BRASIL";"BRASIL";"TPX";"TÁXI AÉREO";"****";"****";"CORRIDA APÓS POUSO";"LANDING";"TÁXI AÉREO";"LEVE";"0";"2019-05-31"
"201008053603107";"PTRSO";"OPERADOR DE AERONAVE";"AVIÃO";"EMBRAER";"EMB-810D";"PA34";"PISTÃO";"BIMOTOR";"2155";"ATÉ 2250 KG";"7";"1982";"BRASIL";"BRASIL";"TPX";"TÁXI AÉREO";"SWFT";"SBGO";"DECOLAGEM";"TAKEOFF";"TÁXI AÉREO";"SUBSTANCIAL";"0";"2019-05-31"
"201408168860592";"PPGYB";"AEROCLUBE";"AVIÃO";"NEIVA INDUSTRIA AERONAUTICA";"56-B";"PAUL";"PISTÃO";"MONOMOTOR";"660";"ATÉ 2250 KG";"2";"1963";"BRASIL";"BRASIL";"PRI";"INSTRUÇÃO";"****";"****";"POUSO";"LANDING";"VOO DE INSTRUÇÃO";"NENHUM";"0";"2019-05-31"
"201411194139870";"PPGYB";"AEROCLUBE";"AVIÃO";"NEIVA INDUSTRIA AERONAUTICA";"56-B";"PAUL";"PISTÃO";"MONOMOTOR";"660";"ATÉ 2250 KG";"2";"1963";"BRASIL";"BRASIL";"PRI";"INSTRUÇÃO";"SBBP";"SBBP";"TÁXI";"TAXI";"VOO DE INSTRUÇÃO";"SUBSTANCIAL";"0";"2019-05-31"
"201310103496149";"PPGYB";"AEROCLUBE";"AVIÃO";"NEIVA INDUSTRIA AERONAUTICA";"56-B";"PAUL";"PISTÃO";"MONOMOTOR";"660";"ATÉ 2250 KG";"2";"1963";"BRASIL";"BRASIL";"PRI";"INSTRUÇÃO";"****";"****";"CORRIDA APÓS POUSO";"LANDING";"VOO DE INSTRUÇÃO";"NENHUM";"0";"2019-05-31"
"201211194619618";"PPGCN";"AEROCLUBE";"AVIÃO";"AERO BOERO";"AB-115";"AB11";"PISTÃO";"MONOMOTOR";"770";"ATÉ 2250 KG";"3";"1991";"ARGENTINA";"BRASIL";"PRI";"INSTRUÇÃO";"****";"****";"TÁXI";"TAXI";"VOO DE INSTRUÇÃO";"LEVE";"0";"2019-05-31"
"201211138938221";"PPGCN";"AEROCLUBE";"AVIÃO";"AERO BOERO";"AB-115";"AB11";"PISTÃO";"MONOMOTOR";"770";"ATÉ 2250 KG";"3";"1991";"ARGENTINA";"BRASIL";"PRI";"INSTRUÇÃO";"****";"****";"POUSO";"LANDING";"VOO DE INSTRUÇÃO";"LEVE";"0";"2019-05-31"
"201105065161524";"PTLOI";"ESCOLA DE AVIAÇÃO";"AVIÃO";"CESSNA AIRCRAFT";"172E";"C172";"PISTÃO";"MONOMOTOR";"1043";"ATÉ 2250 KG";"4";"1964";"ESTADOS UNIDOS";"BRASIL";"PRI";"INSTRUÇÃO";"****";"****";"TÁXI";"TAXI";"VOO DE INSTRUÇÃO";"NENHUM";"0";"2019-05-31"
"201610251354263";"PTETB";"ESCOLA DE AVIAÇÃO";"AVIÃO";"EMBRAER";"EMB-810C";"PA34";"PISTÃO";"BIMOTOR";"2073";"ATÉ 2250 KG";"6";"1978";"BRASIL";"BRASIL";"PRI";"INSTRUÇÃO";"SBGO";"SSOK";"APROXIMAÇÃO FINAL";"APPROACH";"VOO DE INSTRUÇÃO";"NENHUM";"0";"2019-05-31"
"201801101642599";"PTETB";"ESCOLA DE AVIAÇÃO";"AVIÃO";"EMBRAER";"EMB-810C";"PA34";"PISTÃO";"BIMOTOR";"2073";"ATÉ 2250 KG";"6";"1978";"BRASIL";"BRASIL";"PRI";"INSTRUÇÃO";"SBLO";"SBLO";"TÁXI";"TAXI";"VOO DE INSTRUÇÃO";"LEVE";"0";"2019-05-31"
"201512132694667";"PTETB";"ESCOLA DE AVIAÇÃO";"AVIÃO";"EMBRAER";"EMB-810C";"PA34";"PISTÃO";"BIMOTOR";"2073";"ATÉ 2250 KG";"6";"1978";"BRASIL";"BRASIL";"PRI";"INSTRUÇÃO";"SSOK";"SSOK";"DECOLAGEM";"TAKEOFF";"VOO DE INSTRUÇÃO";"NENHUM";"0";"2019-05-31"
"201804261907075";"PTETB";"ESCOLA DE AVIAÇÃO";"AVIÃO";"EMBRAER";"EMB-810C";"PA34";"PISTÃO";"BIMOTOR";"2073";"ATÉ 2250 KG";"6";"1978";"BRASIL";"BRASIL";"PRI";"INSTRUÇÃO";"SSOK";"SSOK";"PARTIDA DO MOTOR";"STANDING";"VOO DE INSTRUÇÃO";"LEVE";"0";"2019-05-31"
"201105304116470";"PTLVA";"AEROCLUBE";"AVIÃO";"PIPER AIRCRAFT";"PA-34-200";"PA34";"PISTÃO";"BIMOTOR";"1814";"ATÉ 2250 KG";"4";"1973";"ESTADOS UNIDOS";"BRASIL";"PRI";"INSTRUÇÃO";"****";"****";"DECOLAGEM";"TAKEOFF";"VOO DE INSTRUÇÃO";"LEVE";"0";"2019-05-31"
"201007215007366";"PTHRE";"OPERADOR DE AERONAVE";"HELICÓPTERO";"SIKORSKY AIRCRAFT";"S-76A";"S76";"TURBOEIXO";"BIMOTOR";"4763";"ENTRE 2250 E 5700 KG";"14";"1982";"ESTADOS UNIDOS";"BRASIL";"TPX";"TÁXI AÉREO";"****";"****";"SUBIDA";"EN ROUTE";"TÁXI AÉREO";"NENHUM";"0";"2019-05-31"
"201711131919144";"PTVKD";"OPERADOR DE AERONAVE";"AVIÃO";"EMBRAER";"EMB-820C CARAJA";"PAT4";"TURBOÉLICE";"BIMOTOR";"3629";"ENTRE 2250 E 5700 KG";"9";"1988";"BRASIL";"BRASIL";"TPX";"TÁXI AÉREO";"SBSV";"SSLS";"CRUZEIRO";"EN ROUTE";"TÁXI AÉREO";"NENHUM";"0";"2019-05-31"
"200907149647433";"PTNKH";"AEROCLUBE";"AVIÃO";"NEIVA INDUSTRIA AERONAUTICA";"EMB-711C";"P28R";"PISTÃO";"MONOMOTOR";"1202";"ATÉ 2250 KG";"4";"1977";"BRASIL";"BRASIL";"PRI";"INSTRUÇÃO";"SBMT";"SDTB";"POUSO";"LANDING";"VOO DE INSTRUÇÃO";"LEVE";"0";"2019-05-31"
"201903081932223";"PTNKH";"AEROCLUBE";"AVIÃO";"NEIVA INDUSTRIA AERONAUTICA";"EMB-711C";"P28R";"PISTÃO";"MONOMOTOR";"1202";"ATÉ 2250 KG";"4";"1977";"BRASIL";"BRASIL";"PRI";"INSTRUÇÃO";"SBFL";"SBMT";"PROCEDIMENTO DE APROXIMAÇÃO IFR";"APPROACH";"VOO DE INSTRUÇÃO";"NENHUM";"0";"2019-05-31"
"201812131534338";"PTNKH";"AEROCLUBE";"AVIÃO";"NEIVA INDUSTRIA AERONAUTICA";"EMB-711C";"P28R";"PISTÃO";"MONOMOTOR";"1202";"ATÉ 2250 KG";"4";"1977";"BRASIL";"BRASIL";"PRI";"INSTRUÇÃO";"SBMT";"SDUB";"CRUZEIRO";"EN ROUTE";"VOO DE INSTRUÇÃO";"NENHUM";"0";"2019-05-31"
"200907193657556";"PTLSO";"OPERADOR DE AERONAVE";"AVIÃO";"BEECH AIRCRAFT";"C90";"BE9L";"TURBOÉLICE";"BIMOTOR";"4377";"ENTRE 2250 E 5700 KG";"10";"1978";"ESTADOS UNIDOS";"BRASIL";"TPX";"TÁXI AÉREO";"****";"****";"SUBIDA";"EN ROUTE";"TÁXI AÉREO";"LEVE";"0";"2019-05-31"
"201104121659652";"PPGCT";"AEROCLUBE";"AVIÃO";"AERO BOERO";"AB-115";"AB11";"PISTÃO";"MONOMOTOR";"770";"ATÉ 2250 KG";"2";"1991";"ARGENTINA";"BRASIL";"PRI";"INSTRUÇÃO";"SSBL";"SSBL";"DECOLAGEM";"TAKEOFF";"VOO DE INSTRUÇÃO";"SUBSTANCIAL";"0";"2019-05-31"
