date;google;facebook
2019/05/06;1189.390015;193.880005
2019/05/07;1174.099976;189.770004
2019/05/08;1166.270020;189.539993
2019/05/09;1162.380005;188.649994
2019/05/10;1164.270020;188.339996
2019/05/13;1132.030029;181.539993
2019/05/14;1120.439941;180.729996
2019/05/15;1164.209961;186.270004
2019/05/16;1178.979980;186.990005
2019/05/17;1162.300049;185.300003
2019/05/20;1138.849976;182.720001
2019/05/21;1149.630005;184.820007
2019/05/22;1151.420044;185.320007
2019/05/23;1140.770020;180.869995
2019/05/24;1133.469971;181.059998
2019/05/28;1134.150024;184.309998
2019/05/29;1116.459961;182.190002
2019/05/30;1117.949951;183.009995
2019/05/31;1103.630005;177.470001
2019/06/03;1036.229980;164.149994
2019/06/04;1053.050049;167.500000
2019/06/05;1042.219971;168.169998
2019/06/06;1044.339966;168.330002
2019/06/07;1066.040039;173.350006
2019/06/10;1080.380005;174.820007
2019/06/11;1078.719971;178.100006
2019/06/12;1077.030029;175.039993
2019/06/13;1088.770020;177.470001
2019/06/14;1085.349976;181.330002
2019/06/17;1092.500000;189.009995
2019/06/18;1103.599976;188.470001
2019/06/19;1102.329956;187.479996
2019/06/20;1111.420044;189.529999
2019/06/21;1121.880005;191.139999
2019/06/24;1115.520020;192.600006
2019/06/25;1086.349976;188.839996
2019/06/26;1079.800049;187.660004
2019/06/27;1076.010010;189.500000
2019/06/28;1080.910034;193.000000
2019/07/01;1097.949951;193.000000
2019/07/02;1111.250000;195.000000
2019/07/03;1121.579956;197.199997
2019/07/05;1131.589966;196.399994
2019/07/08;1116.349976;195.759995
2019/07/09;1124.829956;199.210007
2019/07/10;1140.479980;202.729996
2019/07/11;1144.209961;201.229996
2019/07/12;1144.900024;204.869995
2019/07/15;1150.339966;203.910004
2019/07/16;1153.579956;203.839996
2019/07/17;1146.349976;201.800003
2019/07/18;1146.329956;200.779999
2019/07/19;1130.099976;198.360001
2019/07/22;1138.069946;202.320007
2019/07/23;1146.209961;202.360001
2019/07/24;1137.810059;204.660004
2019/07/25;1132.119995;200.710007
2019/07/26;1250.410034;199.750000
2019/07/29;1239.410034;195.940002
2019/07/30;1225.140015;197.039993
2019/07/31;1216.680054;194.229996
2019/08/01;1209.010010;192.729996
2019/08/02;1193.989990;189.020004
2019/08/05;1152.319946;181.729996
2019/08/06;1169.949951;184.509995
2019/08/07;1173.989990;185.149994
2019/08/08;1204.800049;190.160004
2019/08/09;1188.010010;187.850006
2019/08/12;1174.709961;185.369995
2019/08/13;1197.270020;188.449997
2019/08/14;1164.290039;179.710007
2019/08/15;1167.260010;182.589996
2019/08/16;1177.599976;183.699997
2019/08/19;1198.449951;186.169998
2019/08/20;1182.689941;183.809998
2019/08/21;1191.250000;183.550003
2019/08/22;1189.530029;182.039993
2019/08/23;1151.290039;177.750000
2019/08/26;1168.890015;180.360001
2019/08/27;1167.839966;181.300003
2019/08/28;1171.020020;181.759995
2019/08/29;1192.849976;185.570007
2019/08/30;1188.099976;185.669998
2019/09/03;1168.390015;182.389999
2019/09/04;1181.410034;187.139999
2019/09/05;1211.380005;190.899994
2019/09/06;1204.930054;187.490005
2019/09/09;1204.410034;188.759995
2019/09/10;1206.000000;186.169998
2019/09/11;1220.170044;188.490005
2019/09/12;1234.250000;187.470001
2019/09/13;1239.560059;187.190002
2019/09/16;1231.300049;186.220001
2019/09/17;1229.150024;188.080002
2019/09/18;1232.410034;188.139999
2019/09/19;1238.709961;190.139999
