aeronave_tipo_veiculo;aeronave_motor_quantidade;aeronave_registro_segmento;aeronave_fase_operacao;aeronave_nivel_dano;total_fatalidades
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;DESCIDA;DESTRUIDA;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CORRIDA APOS POUSO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;APROXIMACAO FINAL;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;TAXI;LEVE;0
AVIAO;MONOMOTOR;EXPERIMENTAL;DECOLAGEM;LEVE;0
AVIAO;MONOMOTOR;EXPERIMENTAL;CORRIDA APOS POUSO;LEVE;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CORRIDA APOS POUSO;LEVE;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;INDETERMINADA;DESTRUIDA;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;OUTRA FASE;INDETERMINADO;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;DECOLAGEM;DESTRUIDA;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CORRIDA APOS POUSO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;OUTRA FASE;NENHUM;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;POUSO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;TAXI;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;DECOLAGEM;LEVE;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;DECOLAGEM;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;POUSO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;POUSO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CIRCUITO DE TRAFEGO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;POUSO;LEVE;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;DECOLAGEM;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;DECOLAGEM;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;DECOLAGEM;LEVE;0
HELICOPTERO;MONOMOTOR;EXPERIMENTAL;MANOBRA;DESTRUIDA;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CRUZEIRO;LEVE;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;POUSO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;DECOLAGEM;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;POUSO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;DESCIDA;NENHUM;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;ESTACIONAMENTO;LEVE;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CORRIDA APOS POUSO;LEVE;0
AVIAO;MONOMOTOR;EXPERIMENTAL;POUSO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CORRIDA APOS POUSO;LEVE;0
AVIAO;MONOMOTOR;EXPERIMENTAL;MANOBRA;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;POUSO;NENHUM;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CRUZEIRO;NENHUM;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;ARREMETIDA NO AR;LEVE;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;TAXI;LEVE;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;APROXIMACAO FINAL;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;POUSO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;POUSO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CORRIDA APOS POUSO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CORRIDA APOS POUSO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;ARREMETIDA NO SOLO;LEVE;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CIRCUITO DE TRAFEGO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;DECOLAGEM;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;POUSO;LEVE;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CRUZEIRO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;POUSO;LEVE;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CIRCUITO DE TRAFEGO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;APROXIMACAO FINAL;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;DECOLAGEM;NENHUM;0
AVIAO;MONOMOTOR;EXPERIMENTAL;CORRIDA APOS POUSO;NENHUM;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;DECOLAGEM;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;POUSO;LEVE;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CORRIDA APOS POUSO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CORRIDA APOS POUSO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CORRIDA APOS POUSO;NENHUM;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CORRIDA APOS POUSO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;TAXI;NENHUM;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CORRIDA APOS POUSO;LEVE;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;TAXI;LEVE;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;POUSO;NENHUM;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CORRIDA APOS POUSO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;TAXI;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;POUSO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;OUTRA FASE;NENHUM;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;POUSO;NENHUM;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;INDETERMINADA;LEVE;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CRUZEIRO;LEVE;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;DESCIDA;SUBSTANCIAL;0
AVIAO;MONOMOTOR;EXPERIMENTAL;CRUZEIRO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;TAXI;NENHUM;0
AVIAO;MONOMOTOR;EXPERIMENTAL;DECOLAGEM;NENHUM;0
AVIAO;MONOMOTOR;EXPERIMENTAL;MANOBRA;LEVE;0
AVIAO;MONOMOTOR;EXPERIMENTAL;POUSO;LEVE;0
AVIAO;MONOMOTOR;EXPERIMENTAL;CORRIDA APOS POUSO;SUBSTANCIAL;0
AVIAO;MONOMOTOR;EXPERIMENTAL;CIRCUITO DE TRAFEGO;SUBSTANCIAL;0
AVIAO;MONOMOTOR;EXPERIMENTAL;TAXI;LEVE;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;POUSO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;INDETERMINADA;NENHUM;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;POUSO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;POUSO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;NAVEGACAO A BAIXA ALTURA;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CRUZEIRO;NENHUM;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;TAXI;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;SUBIDA;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CRUZEIRO;NENHUM;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;DECOLAGEM;LEVE;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CORRIDA APOS POUSO;NENHUM;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CRUZEIRO;LEVE;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CRUZEIRO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;POUSO;LEVE;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;POUSO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;APROXIMACAO FINAL;LEVE;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;POUSO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CRUZEIRO;NENHUM;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;DECOLAGEM;DESTRUIDA;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CRUZEIRO;LEVE;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;MANOBRA;NENHUM;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;NAVEGACAO A BAIXA ALTURA;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CRUZEIRO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;SUBIDA;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CRUZEIRO;LEVE;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;DESCIDA;LEVE;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CRUZEIRO;NENHUM;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;POUSO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;DECOLAGEM;LEVE;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CIRCUITO DE TRAFEGO;LEVE;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;TAXI;NENHUM;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;SUBIDA;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CRUZEIRO;LEVE;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CRUZEIRO;LEVE;0
HIDROAVIAO;MONOMOTOR;EXPERIMENTAL;ARREMETIDA NO AR;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;MANOBRA;NENHUM;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;DECOLAGEM;LEVE;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CRUZEIRO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;SUBIDA;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;DECOLAGEM;LEVE;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;DECOLAGEM;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;APROXIMACAO FINAL;DESTRUIDA;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;POUSO;LEVE;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CIRCUITO DE TRAFEGO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;DECOLAGEM;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;POUSO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;APROXIMACAO FINAL;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;DECOLAGEM;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CRUZEIRO;NENHUM;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;TAXI;LEVE;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;POUSO;NENHUM;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CRUZEIRO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;DESCIDA DE EMERGÊNCIA;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;DECOLAGEM;NENHUM;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CRUZEIRO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CIRCUITO DE TRAFEGO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;MANOBRA;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;DECOLAGEM;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CIRCUITO DE TRAFEGO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;POUSO;LEVE;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;DECOLAGEM;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CRUZEIRO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CRUZEIRO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CORRIDA APOS POUSO;LEVE;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CRUZEIRO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CRUZEIRO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;ESPERA;NENHUM;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CORRIDA APOS POUSO;NENHUM;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;POUSO;NENHUM;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;DECOLAGEM;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CORRIDA APOS POUSO;NENHUM;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;APROXIMACAO FINAL;NENHUM;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;ARREMETIDA NO AR;DESTRUIDA;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CRUZEIRO;NENHUM;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CRUZEIRO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;APROXIMACAO FINAL;LEVE;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;MANOBRA;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CIRCUITO DE TRAFEGO;DESTRUIDA;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;DECOLAGEM;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;POUSO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;MANOBRA;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CORRIDA APOS POUSO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CRUZEIRO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;POUSO;NENHUM;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CORRIDA APOS POUSO;NENHUM;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CRUZEIRO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;POUSO;LEVE;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CRUZEIRO;DESTRUIDA;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CRUZEIRO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;DECOLAGEM;LEVE;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CIRCUITO DE TRAFEGO;DESTRUIDA;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;POUSO;LEVE;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;DECOLAGEM;NENHUM;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CORRIDA APOS POUSO;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;DECOLAGEM;SUBSTANCIAL;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;TAXI;LEVE;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;DECOLAGEM;NENHUM;0
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;DECOLAGEM;SUBSTANCIAL;0
HELICOPTERO;MONOMOTOR;EXPERIMENTAL;POUSO;SUBSTANCIAL;0
AVIAO;MONOMOTOR;EXPERIMENTAL;POUSO;SUBSTANCIAL;0
AVIAO;MONOMOTOR;EXPERIMENTAL;MANOBRA;DESTRUIDA;0
AVIAO;MONOMOTOR;EXPERIMENTAL;POUSO;DESTRUIDA;0
AVIAO;MONOMOTOR;INSTRUCAO;INDETERMINADA;SUBSTANCIAL;0
AVIAO;MONOMOTOR;INSTRUCAO;ARREMETIDA NO SOLO;LEVE;0
AVIAO;MONOMOTOR;INSTRUCAO;ARREMETIDA NO SOLO;LEVE;0
AVIAO;MONOMOTOR;INSTRUCAO;CORRIDA APOS POUSO;NENHUM;0
AVIAO;MONOMOTOR;INSTRUCAO;DECOLAGEM;LEVE;0
AVIAO;MONOMOTOR;INSTRUCAO;MANOBRA;SUBSTANCIAL;0
AVIAO;MONOMOTOR;INSTRUCAO;DECOLAGEM;NENHUM;0
AVIAO;MONOMOTOR;INSTRUCAO;DECOLAGEM;SUBSTANCIAL;0
AVIAO;MONOMOTOR;INSTRUCAO;POUSO;SUBSTANCIAL;0
AVIAO;MONOMOTOR;INSTRUCAO;POUSO;NENHUM;0
AVIAO;MONOMOTOR;INSTRUCAO;POUSO;LEVE;0
AVIAO;MONOMOTOR;INSTRUCAO;POUSO;LEVE;0
AVIAO;MONOMOTOR;INSTRUCAO;MANOBRA;SUBSTANCIAL;0
AVIAO;MONOMOTOR;INSTRUCAO;POUSO;NENHUM;0
AVIAO;MONOMOTOR;INSTRUCAO;TAXI;SUBSTANCIAL;0
AVIAO;MONOMOTOR;INSTRUCAO;CORRIDA APOS POUSO;NENHUM;0
AVIAO;MONOMOTOR;INSTRUCAO;DECOLAGEM;SUBSTANCIAL;0
AVIAO;MONOMOTOR;INSTRUCAO;TAXI;SUBSTANCIAL;0
AVIAO;MONOMOTOR;INSTRUCAO;CORRIDA APOS POUSO;LEVE;0
AVIAO;MONOMOTOR;INSTRUCAO;CORRIDA APOS POUSO;LEVE;0
AVIAO;MONOMOTOR;INSTRUCAO;DECOLAGEM;SUBSTANCIAL;0
AVIAO;MONOMOTOR;INSTRUCAO;POUSO;SUBSTANCIAL;0
AVIAO;MONOMOTOR;INSTRUCAO;DECOLAGEM;LEVE;0
AVIAO;MONOMOTOR;INSTRUCAO;POUSO;LEVE;0
AVIAO;MONOMOTOR;INSTRUCAO;CORRIDA APOS POUSO;NENHUM;0
AVIAO;MONOMOTOR;INSTRUCAO;RETA FINAL;NENHUM;0
AVIAO;MONOMOTOR;INSTRUCAO;CORRIDA APOS POUSO;NENHUM;0
AVIAO;MONOMOTOR;INSTRUCAO;DECOLAGEM;LEVE;0
AVIAO;MONOMOTOR;INSTRUCAO;POUSO;SUBSTANCIAL;0
HELICOPTERO;MONOMOTOR;INSTRUCAO;TAXI;NENHUM;0
AVIAO;MONOMOTOR;INSTRUCAO;POUSO;LEVE;0
AVIAO;MONOMOTOR;INSTRUCAO;TAXI;NENHUM;0
AVIAO;MONOMOTOR;INSTRUCAO;CORRIDA APOS POUSO;LEVE;0
AVIAO;MONOMOTOR;INSTRUCAO;CORRIDA APOS POUSO;LEVE;0
AVIAO;MONOMOTOR;INSTRUCAO;TAXI;LEVE;0
AVIAO;MONOMOTOR;INSTRUCAO;CORRIDA APOS POUSO;NENHUM;0
AVIAO;MONOMOTOR;INSTRUCAO;ARREMETIDA NO SOLO;SUBSTANCIAL;0
AVIAO;MONOMOTOR;INSTRUCAO;POUSO;LEVE;0
AVIAO;MONOMOTOR;INSTRUCAO;CORRIDA APOS POUSO;NENHUM;0
AVIAO;MONOMOTOR;INSTRUCAO;POUSO;NENHUM;0
AVIAO;MONOMOTOR;INSTRUCAO;CORRIDA APOS POUSO;SUBSTANCIAL;0
AVIAO;MONOMOTOR;INSTRUCAO;POUSO;LEVE;0
AVIAO;MONOMOTOR;INSTRUCAO;DECOLAGEM;SUBSTANCIAL;0
AVIAO;MONOMOTOR;INSTRUCAO;DECOLAGEM;NENHUM;0
AVIAO;MONOMOTOR;INSTRUCAO;CIRCUITO DE TRAFEGO;NENHUM;0
AVIAO;MONOMOTOR;INSTRUCAO;CRUZEIRO;LEVE;0
AVIAO;MONOMOTOR;INSTRUCAO;CRUZEIRO;NENHUM;0
AVIAO;MONOMOTOR;INSTRUCAO;MANOBRA;SUBSTANCIAL;0
AVIAO;MONOMOTOR;INSTRUCAO;POUSO;SUBSTANCIAL;0
AVIAO;MONOMOTOR;INSTRUCAO;TAXI;LEVE;0
AVIAO;MONOMOTOR;INSTRUCAO;ARREMETIDA NO AR;SUBSTANCIAL;0
AVIAO;MONOMOTOR;INSTRUCAO;CORRIDA APOS POUSO;SUBSTANCIAL;0
AVIAO;MONOMOTOR;INSTRUCAO;TAXI;NENHUM;0
AVIAO;MONOMOTOR;INSTRUCAO;CORRIDA APOS POUSO;SUBSTANCIAL;0
AVIAO;MONOMOTOR;INSTRUCAO;CIRCUITO DE TRAFEGO;NENHUM;0
AVIAO;MONOMOTOR;INSTRUCAO;POUSO;LEVE;0
AVIAO;MONOMOTOR;INSTRUCAO;CORRIDA APOS POUSO;LEVE;0
AVIAO;MONOMOTOR;INSTRUCAO;TAXI;SUBSTANCIAL;0
AVIAO;MONOMOTOR;INSTRUCAO;POUSO;SUBSTANCIAL;0
AVIAO;MONOMOTOR;INSTRUCAO;SUBIDA;NENHUM;0
AVIAO;MONOMOTOR;INSTRUCAO;POUSO;LEVE;0
AVIAO;MONOMOTOR;INSTRUCAO;DECOLAGEM;NENHUM;0
AVIAO;MONOMOTOR;INSTRUCAO;TAXI;LEVE;0
AVIAO;MONOMOTOR;INSTRUCAO;POUSO;NENHUM;0
AVIAO;MONOMOTOR;INSTRUCAO;ARREMETIDA NO SOLO;SUBSTANCIAL;0
AVIAO;MONOMOTOR;INSTRUCAO;ESTACIONAMENTO;LEVE;0
AVIAO;MONOMOTOR;INSTRUCAO;POUSO;LEVE;0
AVIAO;MONOMOTOR;INSTRUCAO;ARREMETIDA NO SOLO;SUBSTANCIAL;0
AVIAO;MONOMOTOR;INSTRUCAO;DECOLAGEM;LEVE;0
AVIAO;MONOMOTOR;INSTRUCAO;POUSO;SUBSTANCIAL;0
AVIAO;MONOMOTOR;INSTRUCAO;ARREMETIDA NO SOLO;SUBSTANCIAL;0
AVIAO;MONOMOTOR;INSTRUCAO;TAXI;LEVE;0
AVIAO;MONOMOTOR;INSTRUCAO;OPERACAO DE SOLO;SUBSTANCIAL;0
AVIAO;MONOMOTOR;INSTRUCAO;POUSO;SUBSTANCIAL;0
AVIAO;MONOMOTOR;INSTRUCAO;DECOLAGEM;SUBSTANCIAL;0
AVIAO;MONOMOTOR;INSTRUCAO;POUSO;SUBSTANCIAL;0
AVIAO;MONOMOTOR;INSTRUCAO;POUSO;NENHUM;0
AVIAO;MONOMOTOR;INSTRUCAO;DECOLAGEM;LEVE;0
AVIAO;MONOMOTOR;INSTRUCAO;POUSO;SUBSTANCIAL;0
AVIAO;MONOMOTOR;INSTRUCAO;CORRIDA APOS POUSO;SUBSTANCIAL;0
AVIAO;MONOMOTOR;INSTRUCAO;CORRIDA APOS POUSO;LEVE;0
AVIAO;MONOMOTOR;INSTRUCAO;SUBIDA;SUBSTANCIAL;0
AVIAO;MONOMOTOR;INSTRUCAO;CIRCUITO DE TRAFEGO;NENHUM;0
AVIAO;MONOMOTOR;INSTRUCAO;CORRIDA APOS POUSO;SUBSTANCIAL;0
AVIAO;MONOMOTOR;INSTRUCAO;POUSO;SUBSTANCIAL;0
AVIAO;MONOMOTOR;INSTRUCAO;NAVEGACAO A BAIXA ALTURA;LEVE;0
AVIAO;MONOMOTOR;INSTRUCAO;DECOLAGEM;SUBSTANCIAL;0
AVIAO;MONOMOTOR;INSTRUCAO;POUSO;NENHUM;0
AVIAO;MONOMOTOR;INSTRUCAO;DECOLAGEM;NENHUM;0
AVIAO;MONOMOTOR;INSTRUCAO;DECOLAGEM;NENHUM;0
AVIAO;MONOMOTOR;INSTRUCAO;ARREMETIDA NO SOLO;SUBSTANCIAL;0
AVIAO;MONOMOTOR;INSTRUCAO;CIRCUITO DE TRAFEGO;NENHUM;0
HELICOPTERO;MONOMOTOR;INSTRUCAO;POUSO;LEVE;0
HELICOPTERO;MONOMOTOR;INSTRUCAO;POUSO;LEVE;0
AVIAO;MONOMOTOR;INSTRUCAO;POUSO;SUBSTANCIAL;0
AVIAO;MONOMOTOR;INSTRUCAO;CORRIDA APOS POUSO;NENHUM;0
AVIAO;MONOMOTOR;INSTRUCAO;MANOBRA;LEVE;0
AVIAO;MONOMOTOR;INSTRUCAO;POUSO;LEVE;0
AVIAO;MONOMOTOR;INSTRUCAO;POUSO;SUBSTANCIAL;0
AVIAO;MONOMOTOR;INSTRUCAO;POUSO;LEVE;0
AVIAO;MONOMOTOR;INSTRUCAO;CORRIDA APOS POUSO;SUBSTANCIAL;0
AVIAO;MONOMOTOR;INSTRUCAO;POUSO;LEVE;0
AVIAO;MONOMOTOR;INSTRUCAO;DECOLAGEM;NENHUM;0
HELICOPTERO;MONOMOTOR;INSTRUCAO;DECOLAGEM;SUBSTANCIAL;0
AVIAO;MONOMOTOR;INSTRUCAO;DECOLAGEM;LEVE;0
AVIAO;MONOMOTOR;INSTRUCAO;DECOLAGEM;LEVE;0
AVIAO;MONOMOTOR;INSTRUCAO;DECOLAGEM;LEVE;0
AVIAO;MONOMOTOR;INSTRUCAO;ARREMETIDA NO SOLO;SUBSTANCIAL;0
AVIAO;MONOMOTOR;INSTRUCAO;CORRIDA APOS POUSO;LEVE;0
AVIAO;MONOMOTOR;INSTRUCAO;CORRIDA APOS POUSO;LEVE;0
AVIAO;MONOMOTOR;INSTRUCAO;POUSO;LEVE;0
AVIAO;MONOMOTOR;INSTRUCAO;TAXI;SUBSTANCIAL;0
AVIAO;MONOMOTOR;INSTRUCAO;TAXI;NENHUM;0
AVIAO;MONOMOTOR;INSTRUCAO;DECOLAGEM;LEVE;0
AVIAO;MONOMOTOR;INSTRUCAO;TAXI;NENHUM;0
AVIAO;MONOMOTOR;INSTRUCAO;TAXI;SUBSTANCIAL;0
HELICOPTERO;MONOMOTOR;INSTRUCAO;MANOBRA;SUBSTANCIAL;0
AVIAO;MONOMOTOR;INSTRUCAO;SUBIDA;SUBSTANCIAL;0
AVIAO;MONOMOTOR;INSTRUCAO;CORRIDA APOS POUSO;LEVE;0
AVIAO;MONOMOTOR;INSTRUCAO;CORRIDA APOS POUSO;SUBSTANCIAL;0
