ibge;anomes;qtd_familias_beneficiarias_bolsa_familia;valor_repassado_bolsa_familia
530010;201906;72524;1.3014762E7
110001;201907;1466;230531.0
110002;201907;3743;546554.0
110003;201907;180;27458.0
110004;201907;2616;403484.0
110005;201907;660;98866.0
110006;201907;335;46960.0
110007;201907;399;58612.0
110008;201907;1668;299796.0
110009;201907;1373;219126.0
110010;201907;3010;552560.0
110011;201907;2050;254210.0
110012;201907;2294;316208.0
110013;201907;1846;241039.0
110014;201907;1363;187123.0
110015;201907;919;123025.0
110018;201907;812;127183.0
110020;201907;24653;3950260.0
110025;201907;1679;266791.0
110026;201907;155;24669.0
110028;201907;1371;174095.0
110029;201907;401;60010.0
110030;201907;2993;475704.0
110032;201907;820;109990.0
110033;201907;1285;195688.0
110034;201907;1261;172862.0
110037;201907;719;117115.0
110040;201907;1043;143620.0
110045;201907;1991;300749.0
110050;201907;624;74944.0
110060;201907;230;28262.0
110070;201907;605;85350.0
110080;201907;2865;482120.0
110090;201907;212;32223.0
110092;201907;449;94475.0
110094;201907;1118;159378.0
110100;201907;817;120725.0
110110;201907;578;85831.0
110120;201907;440;62195.0
110130;201907;736;112332.0
110140;201907;586;85282.0
110143;201907;352;47161.0
110145;201907;251;35791.0
110146;201907;164;30386.0
110147;201907;170;26988.0
110148;201907;124;14910.0
110149;201907;968;133031.0
110150;201907;874;121934.0
110155;201907;232;38574.0
110160;201907;519;74325.0
110170;201907;793;122354.0
110175;201907;624;105864.0
110180;201907;497;82510.0
120001;201907;1719;334816.0
120005;201907;1433;446077.0
120010;201907;3291;644824.0
120013;201907;1463;307432.0
120017;201907;1375;276011.0
120020;201907;10767;3389956.0
120025;201907;1814;370031.0
120030;201907;4940;1502014.0
120032;201907;1342;509512.0
120033;201907;3262;1073817.0
120034;201907;1775;590311.0
120035;201907;2844;856553.0
120038;201907;1583;279136.0
120039;201907;1551;500200.0
120040;201907;23520;5307165.0
120042;201907;2489;744084.0
120043;201907;1109;422014.0
120045;201907;4404;1090998.0
120050;201907;7021;1965922.0
120060;201907;7512;2549206.0
120070;201907;2022;399287.0
120080;201907;2748;595418.0
130002;201907;2365;672929.0
130006;201907;1514;328095.0
130008;201907;1978;600964.0
130010;201907;2992;784308.0
130014;201907;1429;280564.0
130020;201907;1937;699512.0
130030;201907;7663;2156462.0
130040;201907;2403;466521.0
130050;201907;5426;1735867.0
130060;201907;5351;1605571.0
130063;201907;4882;1441065.0
130068;201907;2334;673407.0
130070;201907;5010;1121064.0
130080;201907;5018;1487272.0
130083;201907;2079;442989.0
130090;201907;2528;759634.0
130100;201907;5930;1815652.0
130110;201907;5339;1032644.0
130115;201907;3983;1148266.0
130120;201907;10145;2411903.0
130130;201907;3418;835492.0
130140;201907;5399;1828548.0
130150;201907;2872;1004051.0
130160;201907;3586;850046.0
130165;201907;2655;902305.0
130170;201907;7372;1807379.0
130180;201907;3803;1047949.0
130185;201907;11778;2152488.0
130190;201907;11425;2633860.0
130195;201907;1671;522846.0
130200;201907;1646;339941.0
130210;201907;938;302215.0
130220;201907;1677;509042.0
130230;201907;3276;1102533.0
130240;201907;8024;2461201.0
130250;201907;17890;4158252.0
130255;201907;3036;678379.0
130260;201907;124862;2.0051622E7
130270;201907;5710;1244487.0
130280;201907;2888;1049979.0
130290;201907;9579;2788642.0
130300;201907;3619;1075649.0
130310;201907;4234;1129585.0
130320;201907;2251;499097.0
130330;201907;3140;893630.0
130340;201907;16089;3606311.0
130350;201907;3080;975635.0
130353;201907;3913;773262.0
130356;201907;3027;568284.0
130360;201907;2267;648282.0
130370;201907;4286;1327658.0
130380;201907;5207;1767607.0
130390;201907;4119;1286189.0
130395;201907;1571;327154.0
130400;201907;2022;541536.0
130406;201907;6924;1315658.0
130410;201907;2513;426493.0
130420;201907;8860;2397026.0
130423;201907;3238;864910.0
130426;201907;2380;795012.0
130430;201907;2992;683023.0
130440;201907;3614;1089100.0
140002;201907;1436;396411.0
140005;201907;2211;474901.0
140010;201907;20452;3258354.0
140015;201907;2305;633228.0
140017;201907;2540;663717.0
140020;201907;3323;778386.0
140023;201907;1404;287691.0
140028;201907;1359;276487.0
140030;201907;3461;675255.0
140040;201907;1779;645536.0
140045;201907;1572;379398.0
140047;201907;3310;686788.0
140050;201907;841;159829.0
140060;201907;1011;206692.0
140070;201907;1306;580145.0
150010;201907;34542;7052520.0
150013;201907;1186;281752.0
150020;201907;11299;2296382.0
150030;201907;6865;1606524.0
150034;201907;2671;528999.0
150040;201907;11442;2046050.0
150050;201907;5559;1773287.0
150060;201907;10980;2166792.0
150070;201907;5229;1606301.0
150080;201907;33707;4783710.0
150085;201907;5458;1361162.0
150090;201907;7899;1881011.0
150095;201907;3953;839343.0
150100;201907;2050;538283.0
150110;201907;3626;1059358.0
150120;201907;6325;1251189.0
150125;201907;387;78823.0
150130;201907;14494;2789984.0
150140;201907;122155;1.8944262E7
150145;201907;2754;490539.0
150150;201907;10522;2335248.0
150157;201907;2048;397097.0
150160;201907;1941;313065.0
150170;201907;15836;3070682.0
150172;201907;2629;517028.0
150175;201907;989;197578.0
150178;201907;6975;1569370.0
150180;201907;17091;4186028.0
150190;201907;5456;1549293.0
150195;201907;4334;1228406.0
150200;201907;4660;1208014.0
150210;201907;20204;4166918.0
150215;201907;3866;746925.0
150220;201907;7350;1301794.0
150230;201907;7800;1270683.0
150240;201907;13634;1897316.0
150250;201907;3202;912547.0
150260;201907;1886;429162.0
150270;201907;3425;531673.0
150275;201907;5296;1310916.0
150276;201907;1263;257001.0
150277;201907;3129;528455.0
150280;201907;5580;1411698.0
150285;201907;2196;514279.0
150290;201907;8490;1834409.0
150293;201907;4291;744200.0
150295;201907;3424;570259.0
150300;201907;1750;487229.0
150304;201907;2248;409351.0
150307;201907;4791;927215.0
150309;201907;3241;576278.0
150310;201907;5981;2071090.0
150320;201907;6501;1038590.0
150330;201907;10234;1902432.0
150340;201907;1783;334363.0
150345;201907;5872;1273586.0
150350;201907;6452;1110151.0
150360;201907;12727;2562071.0
150370;201907;6251;1283575.0
150375;201907;2476;719132.0
150380;201907;7315;1758959.0
150390;201907;5593;1208901.0
150400;201907;5323;1034805.0
150405;201907;6391;1222542.0
150410;201907;1189;239603.0
150420;201907;15699;2518565.0
150430;201907;6103;1107566.0
150440;201907;4091;811585.0
150442;201907;13966;2459650.0
150445;201907;4423;998900.0
150450;201907;4154;1174768.0
150460;201907;6656;1778715.0
150470;201907;15909;3395205.0
150475;201907;3330;724762.0
150480;201907;9537;1691777.0
150490;201907;6730;1618670.0
150495;201907;4393;1313197.0
150497;201907;1428;274848.0
150500;201907;2335;393762.0
150503;201907;1587;278845.0
150506;201907;6164;1179129.0
150510;201907;6358;1439848.0
150520;201907;6254;1733192.0
150530;201907;8313;1591690.0
150540;201907;3493;795345.0
150543;201907;4116;786079.0
150548;201907;7329;1854961.0
150549;201907;1497;389359.0
150550;201907;9912;1624762.0
150553;201907;9757;1516628.0
150555;201907;980;208087.0
150560;201907;1079;193394.0
150563;201907;1395;254850.0
150565;201907;2968;802976.0
150570;201907;5004;875498.0
150580;201907;7634;1758297.0
150590;201907;5927;1945565.0
150600;201907;7645;2273667.0
150610;201907;1915;454046.0
150611;201907;2371;544288.0
150613;201907;5781;1060829.0
150616;201907;1325;218774.0
150618;201907;3605;743124.0
150619;201907;4039;847009.0
150620;201907;4110;751765.0
150630;201907;4658;895495.0
150635;201907;2558;476757.0
150640;201907;1846;444710.0
150650;201907;6442;995810.0
150655;201907;4363;945952.0
150658;201907;2357;399591.0
150660;201907;3584;589199.0
150670;201907;4681;829212.0
150680;201907;28361;5527386.0
150690;201907;1982;452407.0
150700;201907;4197;766223.0
150710;201907;2731;526308.0
150715;201907;3148;632948.0
150720;201907;5283;1321545.0
150730;201907;7393;1726615.0
150740;201907;2613;423996.0
150745;201907;3101;533144.0
150746;201907;1124;275489.0
150747;201907;3226;603097.0
150750;201907;2393;615187.0
150760;201907;8333;1613254.0
150770;201907;5251;1492018.0
150775;201907;468;90892.0
150780;201907;3444;959233.0
150790;201907;3844;846061.0
150795;201907;8643;1576495.0
150796;201907;2623;484973.0
150797;201907;2705;618160.0
150800;201907;9530;1883468.0
150803;201907;5385;1251120.0
150805;201907;2210;418762.0
150808;201907;1920;255349.0
150810;201907;10278;1786712.0
150812;201907;3439;754240.0
150815;201907;6227;1290528.0
150820;201907;7733;1391029.0
150830;201907;9198;2799935.0
150835;201907;1243;271647.0
150840;201907;3464;667817.0
160005;201907;890;225456.0
160010;201907;2123;501466.0
160015;201907;1845;490118.0
160020;201907;1373;284867.0
160021;201907;828;282664.0
160023;201907;792;162132.0
160025;201907;1738;449379.0
160027;201907;6414;1345164.0
160030;201907;32910;6387606.0
160040;201907;4248;1387202.0
160050;201907;2154;352604.0
160053;201907;2665;694702.0
160055;201907;660;177891.0
160060;201907;14916;3330562.0
160070;201907;2038;615032.0
160080;201907;2423;775524.0
170025;201907;228;41787.0
170030;201907;557;105542.0
170035;201907;593;115532.0
170040;201907;863;197009.0
170070;201907;734;139786.0
170100;201907;1285;274426.0
170105;201907;236;38668.0
