ibge;anomes;qtd_familias_beneficiarias_bolsa_familia;valor_repassado_bolsa_familia
110001;201901;1460;229913.0
110002;201901;3824;569381.0
110003;201901;173;25001.0
110004;201901;2608;396779.0
110005;201901;663;101141.0
110006;201901;362;48975.0
110007;201901;414;60428.0
110008;201901;1637;301156.0
110009;201901;1349;211191.0
110010;201901;2990;544379.0
110011;201901;2083;260096.0
110012;201901;2494;342884.0
110013;201901;1966;252282.0
110014;201901;1406;194254.0
110015;201901;947;121488.0
110018;201901;802;119407.0
110020;201901;24533;3917198.0
110025;201901;1758;281199.0
110026;201901;170;25345.0
110028;201901;1361;169912.0
110029;201901;402;59487.0
110030;201901;3178;519959.0
110032;201901;855;113171.0
110033;201901;1325;202954.0
110034;201901;1314;179214.0
110037;201901;720;118408.0
110040;201901;1072;144239.0
110045;201901;2062;305200.0
110050;201901;647;80173.0
110060;201901;229;27745.0
110070;201901;674;95125.0
110080;201901;2840;478205.0
110090;201901;195;29013.0
110092;201901;447;94057.0
110094;201901;1188;173804.0
110100;201901;846;125930.0
110110;201901;601;88308.0
110120;201901;451;61966.0
110130;201901;717;106674.0
110140;201901;623;91137.0
110143;201901;400;54291.0
110145;201901;281;40488.0
110146;201901;173;32328.0
110147;201901;175;28427.0
110148;201901;120;14636.0
110149;201901;998;138797.0
110150;201901;863;118896.0
110155;201901;245;39578.0
110160;201901;542;75770.0
110170;201901;821;126636.0
110175;201901;619;105680.0
110180;201901;491;75436.0
120001;201901;1757;354493.0
120005;201901;1396;429691.0
120010;201901;3316;642638.0
120013;201901;1445;299732.0
120017;201901;1364;274137.0
120020;201901;10694;3354809.0
120025;201901;1756;362751.0
120030;201901;4954;1542093.0
120032;201901;1319;495950.0
120033;201901;3208;1080979.0
120034;201901;1742;585727.0
120035;201901;2838;859140.0
120038;201901;1585;282431.0
120039;201901;1541;482267.0
120040;201901;23111;5135763.0
120042;201901;2459;712644.0
120043;201901;1078;416187.0
120045;201901;4260;1070887.0
120050;201901;6807;1881822.0
120060;201901;7217;2445979.0
120070;201901;2013;394397.0
120080;201901;2713;590084.0
130002;201901;2418;736307.0
130006;201901;1524;341766.0
130008;201901;1949;590555.0
130010;201901;3000;745347.0
130014;201901;1434;268110.0
130020;201901;1905;694347.0
130030;201901;7703;2183082.0
130040;201901;2392;458217.0
130050;201901;5304;1718224.0
130060;201901;5205;1535848.0
130063;201901;4871;1419557.0
130068;201901;2367;685717.0
130070;201901;5028;1121543.0
130080;201901;4998;1466608.0
130083;201901;1999;435711.0
130090;201901;2547;776938.0
130100;201901;5874;1812491.0
130110;201901;5358;1029840.0
130115;201901;3961;1153346.0
130120;201901;10027;2403821.0
130130;201901;3449;859640.0
130140;201901;5391;1763594.0
130150;201901;2912;1033704.0
130160;201901;3476;826085.0
130165;201901;2553;895847.0
130170;201901;7582;1861357.0
130180;201901;3805;1025717.0
130185;201901;11678;2143056.0
130190;201901;11450;2627119.0
130195;201901;1662;520155.0
130200;201901;1606;309441.0
130210;201901;924;297053.0
130220;201901;1570;460294.0
130230;201901;3176;1072398.0
130240;201901;7747;2413607.0
130250;201901;18160;4252353.0
130255;201901;3000;662715.0
130260;201901;123792;1.9760839E7
130270;201901;5719;1268019.0
130280;201901;2860;1065232.0
130290;201901;9704;2830397.0
130300;201901;3582;1071075.0
130310;201901;4150;1089354.0
130320;201901;2238;502479.0
130330;201901;3193;910720.0
130340;201901;15701;3536579.0
130350;201901;3095;964515.0
130353;201901;3794;751672.0
130356;201901;3002;565997.0
130360;201901;2228;626942.0
130370;201901;4357;1376658.0
130380;201901;5309;1803961.0
130390;201901;4095;1295793.0
130395;201901;1568;312180.0
130400;201901;1988;529707.0
130406;201901;7096;1326485.0
130410;201901;2614;442315.0
130420;201901;8400;2271242.0
130423;201901;3130;861290.0
130426;201901;2404;796901.0
130430;201901;2910;664833.0
130440;201901;3581;1073524.0
140002;201901;1337;359217.0
140005;201901;2097;459522.0
140010;201901;20243;3223994.0
140015;201901;2139;617860.0
140017;201901;2327;590650.0
140020;201901;3238;774186.0
140023;201901;1371;279106.0
140028;201901;1347;267447.0
140030;201901;3195;616038.0
140040;201901;1635;592801.0
140045;201901;1443;372323.0
140047;201901;3402;723382.0
140050;201901;815;154613.0
140060;201901;974;205635.0
140070;201901;1330;597350.0
150010;201901;33683;6918408.0
150013;201901;1164;276131.0
150020;201901;11267;2303047.0
150030;201901;6969;1670441.0
150034;201901;2717;553749.0
150040;201901;11070;1994129.0
150050;201901;5524;1802041.0
150060;201901;11013;2148971.0
150070;201901;5250;1644563.0
150080;201901;33687;4913271.0
150085;201901;5167;1297663.0
150090;201901;7890;1892736.0
150095;201901;3969;840865.0
150100;201901;2047;520717.0
150110;201901;3580;1053687.0
150120;201901;6247;1228922.0
150125;201901;381;76713.0
150130;201901;14744;2872267.0
150140;201901;117474;1.8346909E7
150145;201901;2838;508796.0
150150;201901;10078;2237526.0
150157;201901;2025;386003.0
150160;201901;1934;310203.0
150170;201901;15738;3051661.0
150172;201901;2558;495116.0
150175;201901;1069;212796.0
150178;201901;6793;1517995.0
150180;201901;16645;4103440.0
150190;201901;5505;1559200.0
150195;201901;4389;1242713.0
150200;201901;4477;1233507.0
150210;201901;19337;4136262.0
150215;201901;3855;688928.0
150220;201901;7067;1217608.0
150230;201901;7772;1260214.0
150240;201901;13468;1840954.0
150250;201901;3089;884097.0
150260;201901;1819;408352.0
150270;201901;3471;541785.0
150275;201901;5159;1272112.0
150276;201901;1328;270068.0
150277;201901;3092;518069.0
150280;201901;5475;1415500.0
150285;201901;2218;511075.0
150290;201901;8529;1811451.0
150293;201901;4260;714041.0
150295;201901;3578;595117.0
150300;201901;1690;475987.0
150304;201901;2318;436480.0
150307;201901;4814;936244.0
150309;201901;3283;581328.0
150310;201901;5944;2086422.0
150320;201901;6521;1024562.0
150330;201901;10210;1878890.0
150340;201901;1765;332880.0
150345;201901;5819;1254566.0
150350;201901;6464;1165907.0
150360;201901;12774;2564602.0
150370;201901;6227;1272662.0
150375;201901;2435;684893.0
150380;201901;7218;1716676.0
150390;201901;5584;1201238.0
150400;201901;5204;1018970.0
150405;201901;6397;1230370.0
150410;201901;1181;240724.0
150420;201901;14558;2318206.0
150430;201901;6050;1112002.0
150440;201901;4136;853156.0
150442;201901;13525;2357010.0
150445;201901;4348;955439.0
150450;201901;4101;1184471.0
150460;201901;6568;1883507.0
150470;201901;15033;3131186.0
150475;201901;3207;699973.0
150480;201901;9654;1758955.0
150490;201901;6724;1631311.0
150495;201901;4408;1319059.0
150497;201901;1458;272989.0
150500;201901;2347;383912.0
150503;201901;1655;297650.0
150506;201901;6131;1185241.0
150510;201901;6359;1463403.0
150520;201901;6355;1739026.0
150530;201901;8401;1594452.0
150540;201901;3497;808954.0
150543;201901;3825;708331.0
150548;201901;7348;1841466.0
150549;201901;1505;400928.0
150550;201901;9993;1626465.0
150553;201901;9196;1392173.0
150555;201901;995;208423.0
150560;201901;1084;194111.0
150563;201901;1397;255322.0
150565;201901;3004;816398.0
150570;201901;4947;890438.0
150580;201901;7683;1849613.0
150590;201901;5833;1878508.0
150600;201901;7543;2233367.0
150610;201901;1886;435537.0
150611;201901;2264;517256.0
150613;201901;5758;1023188.0
150616;201901;1290;216754.0
150618;201901;3651;725476.0
150619;201901;3869;821359.0
150620;201901;4122;752702.0
150630;201901;4706;985109.0
150635;201901;2574;469919.0
150640;201901;1820;458834.0
150650;201901;6496;1003607.0
150655;201901;4363;896594.0
150658;201901;2364;391025.0
150660;201901;3585;591284.0
150670;201901;4652;824671.0
150680;201901;27696;5276877.0
150690;201901;1875;384618.0
150700;201901;4221;771655.0
150710;201901;2725;534122.0
150715;201901;3092;620231.0
150720;201901;5196;1313977.0
150730;201901;7359;1699181.0
150740;201901;2479;405110.0
150745;201901;3123;544569.0
150746;201901;1086;261612.0
150747;201901;3362;629569.0
150750;201901;2372;616773.0
150760;201901;8402;1641034.0
150770;201901;5180;1550291.0
150775;201901;465;89356.0
150780;201901;3441;964126.0
150790;201901;3751;831001.0
150795;201901;8937;1618714.0
150796;201901;2549;476929.0
150797;201901;2722;618972.0
150800;201901;9395;1845552.0
150803;201901;5346;1249176.0
150805;201901;2114;402627.0
150808;201901;1886;250608.0
150810;201901;10497;1855946.0
150812;201901;3475;747243.0
150815;201901;6114;1262613.0
150820;201901;7851;1414284.0
150830;201901;9179;2850645.0
150835;201901;1308;273539.0
